X,time,fragmentation.index,logit.fragmentation.index
406,-406,0.406804893,-0.37718967
407,-407,0.40612551,-0.380005751
408,-408,0.405381107,-0.383093055
409,-409,0.405198818,-0.383849347
410,-410,0.405195388,-0.383863578
411,-411,0.405302399,-0.38341959
412,-412,0.405312624,-0.383377169
413,-413,0.404465186,-0.386894183
414,-414,0.404472231,-0.386864935
415,-415,0.405413086,-0.38296039
416,-416,0.405373389,-0.383125073
417,-417,0.403424555,-0.391216219
418,-418,0.39439348,-0.428881377
419,-419,0.393658152,-0.431961034
420,-420,0.394133999,-0.429967891
421,-421,0.403158837,-0.392320399
422,-422,0.399040458,-0.409464804
423,-423,0.401951635,-0.397339858
424,-424,0.401033813,-0.401159402
425,-425,0.400807565,-0.402101383
426,-426,0.412822911,-0.352307745
427,-427,0.439164644,-0.244552993
428,-428,0.438439217,-0.247498833
429,-429,0.437944951,-0.249506577
430,-430,0.438659767,-0.246603103
431,-431,0.440000416,-0.241160369
432,-432,0.441375715,-0.235580653
433,-433,0.44156743,-0.234803139
434,-434,0.44217902,-0.232323264
435,-435,0.446090421,-0.216479789
436,-436,0.448741251,-0.205757855
437,-437,0.447531161,-0.210650863
438,-438,0.448071067,-0.208467442
439,-439,0.448801465,-0.205514443
440,-440,0.447166315,-0.212126611
441,-441,0.446193626,-0.216062123
442,-442,0.446790362,-0.213647526
443,-443,0.447070979,-0.212512269
444,-444,0.454892653,-0.180921279
445,-445,0.455276032,-0.179375287
446,-446,0.45568017,-0.177745815
447,-447,0.456115903,-0.175989217
448,-448,0.456590347,-0.174076868
449,-449,0.457124499,-0.171924233
450,-450,0.457770952,-0.169319556
451,-451,0.457793478,-0.169228805
452,-452,0.457740525,-0.169442139
453,-453,0.457761634,-0.169357096
454,-454,0.458083463,-0.168060598
455,-455,0.458699872,-0.165577768
456,-456,0.45953534,-0.162213403
457,-457,0.460077071,-0.160032384
458,-458,0.460579817,-0.15800866
459,-459,0.461351013,-0.154904959
460,-460,0.461677861,-0.153589775
461,-461,0.461992206,-0.152325026
462,-462,0.462035333,-0.152151517
463,-463,0.462480983,-0.150358702
464,-464,0.463249674,-0.147266883
465,-465,0.464139966,-0.143686839
466,-466,0.464131713,-0.143720021
467,-467,0.464562097,-0.141989687
468,-468,0.464886665,-0.140684921
469,-469,0.465318081,-0.138950809
470,-470,0.465691354,-0.137450577
471,-471,0.465733876,-0.137279685
472,-472,0.465678058,-0.137504012
473,-473,0.465469517,-0.13834215
474,-474,0.465333515,-0.138888775
475,-475,0.465173781,-0.139530811
476,-476,0.463996788,-0.144262524
477,-477,0.463397374,-0.146672887
478,-478,0.462921321,-0.148587493
479,-479,0.461194171,-0.155536113
480,-480,0.459193765,-0.163588787
481,-481,0.458067231,-0.168125985
482,-482,0.457797967,-0.16921072
483,-483,0.457532673,-0.170279558
484,-484,0.457270472,-0.171336031
485,-485,0.457500382,-0.170409662
486,-486,0.457215304,-0.171558328
487,-487,0.456581589,-0.174112166
488,-488,0.456113101,-0.176000512
489,-489,0.455931621,-0.176732091
490,-490,0.457779955,-0.169283285
491,-491,0.456373764,-0.174949813
492,-492,0.452355706,-0.191157147
493,-493,0.453262966,-0.187495489
494,-494,0.434651149,-0.262899223
495,-495,0.434759757,-0.262457254
496,-496,0.435593388,-0.259065723
497,-497,0.434694183,-0.262724097
498,-498,0.434597469,-0.263117678
499,-499,0.434452692,-0.263706889
500,-500,0.434365329,-0.26406246
501,-501,0.433261304,-0.268557324
502,-502,0.432844091,-0.270256642
503,-503,0.432414876,-0.272005248
504,-504,0.431933468,-0.273966979
505,-505,0.431454649,-0.275918679
506,-506,0.431052566,-0.277558001
507,-507,0.430635451,-0.279259002
508,-508,0.430153801,-0.281223677
509,-509,0.429650931,-0.283275485
510,-510,0.429107351,-0.285494064
511,-511,0.428165419,-0.289340142
512,-512,0.427327106,-0.292764912
513,-513,0.426813616,-0.29486352
514,-514,0.426636538,-0.295587378
515,-515,0.426236731,-0.297221989
516,-516,0.425733342,-0.299280657
517,-517,0.42523455,-0.301321145
518,-518,0.424776122,-0.30319706
519,-519,0.424609192,-0.303880278
520,-520,0.42421583,-0.305490527
521,-521,0.423689261,-0.307646681
522,-522,0.422978783,-0.310557018
523,-523,0.422998982,-0.310474258
524,-524,0.425815119,-0.298946178
525,-525,0.425743084,-0.29924081
526,-526,0.425589645,-0.299868438
527,-527,0.425374449,-0.300748776
528,-528,0.425126969,-0.301761326
529,-529,0.424736236,-0.303360301
530,-530,0.424288937,-0.30519123
531,-531,0.424600254,-0.303916862
532,-532,0.425960508,-0.298351558
533,-533,0.425771443,-0.299124816
534,-534,0.42503647,-0.302131636
535,-535,0.424328584,-0.305028922
536,-536,0.423892753,-0.306813354
537,-537,0.423701746,-0.30759555
538,-538,0.42458619,-0.303974428
539,-539,0.424631748,-0.303787956
540,-540,0.425105082,-0.301850883
541,-541,0.425213867,-0.30140577
